row,Rec,Tgts,Yds,Avg,Lng,Td,player,playerid,recRate,ydsPerTgt
27,10,14,165,16.5,56,0,Brandon Marshall,4,0.71,11.8
28,10,20,160,16,39,1,Brandon Marshall,4,0.50,8.0
29,6,7,56,9.3,15,1,Brandon Marshall,4,0.86,8.0
30,6,15,68,11.3,30,1,Brandon Marshall,4,0.40,4.5
31,5,14,42,8.4,19,0,Brandon Marshall,4,0.36,3.0
16,8,10,104,13,38,1,Brandon Marshall,4,0.80,10.4
17,7,10,113,16.1,34,1,Brandon Marshall,4,0.70,11.3
18,5,8,52,10.4,41,0,Brandon Marshall,4,0.63,6.5
19,7,14,79,11.3,24,0,Brandon Marshall,4,0.50,5.6
20,4,5,30,7.5,12,1,Brandon Marshall,4,0.80,6.0
21,9,11,87,9.7,20,2,Brandon Marshall,4,0.82,7.9
22,6,10,75,12.5,28,0,Brandon Marshall,4,0.60,7.5
23,7,13,107,15.3,23,1,Brandon Marshall,4,0.54,8.2
24,7,12,139,19.9,44,2,Brandon Marshall,4,0.58,11.6
25,4,10,42,10.5,16,0,Brandon Marshall,4,0.40,4.2
26,10,12,117,11.7,23,1,Brandon Marshall,4,0.83,9.8
27,4,9,45,11.3,15,0,Brandon Marshall,4,0.44,5.0
28,6,8,100,16.7,22,0,Brandon Marshall,4,0.75,12.5
29,6,12,95,15.8,41,1,Brandon Marshall,4,0.50,7.9
30,4,9,36,9,14,1,Brandon Marshall,4,0.44,4.0
31,6,10,74,12.3,37,1,Brandon Marshall,4,0.60,7.4
134,4,8,47,11.8,16,1,Brian Hartline,5,0.50,5.9
135,2,6,36,18,25,0,Brian Hartline,5,0.33,6.0
136,4,4,87,21.8,38,0,Brian Hartline,5,1.00,21.8
137,3,5,31,10.3,18,0,Brian Hartline,5,0.60,6.2
138,3,6,27,9,11,0,Brian Hartline,5,0.50,4.5
139,2,2,29,14.5,15,0,Brian Hartline,5,1.00,14.5
140,0,0,0,0,0,0,Brian Hartline,5,#DIV/0!,#DIV/0!
141,0,0,0,0,0,0,Brian Hartline,5,#DIV/0!,#DIV/0!
142,1,3,6,6,6,0,Brian Hartline,5,0.33,2.0
143,1,2,19,19,19,0,Brian Hartline,5,0.50,9.5
144,4,5,77,19.3,41,0,Brian Hartline,5,0.80,15.4
145,1,2,9,9,9,0,Brian Hartline,5,0.50,4.5
146,1,1,24,24,24,0,Brian Hartline,5,1.00,24.0
147,3,5,69,23,33,0,Brian Hartline,5,0.60,13.8
148,4,8,72,18,39,0,Brian Hartline,5,0.50,9.0
149,2,7,16,8,11,0,Brian Hartline,5,0.29,2.3
143,3,8,50,16.7,34,0,Brian Hartline,5,0.38,6.3
144,9,12,111,12.3,21,0,Brian Hartline,5,0.75,9.3
145,1,9,41,41,41,0,Brian Hartline,5,0.11,4.6
146,12,18,253,21.1,80,1,Brian Hartline,5,0.67,14.1
147,4,5,59,14.8,30,0,Brian Hartline,5,0.80,11.8
148,0,0,0,0,0,0,Brian Hartline,5,#DIV/0!,#DIV/0!
149,4,6,41,10.3,17,0,Brian Hartline,5,0.67,6.8
150,8,12,107,13.4,35,0,Brian Hartline,5,0.67,8.9
151,8,10,79,9.9,14,0,Brian Hartline,5,0.80,7.9
152,4,7,49,12.3,17,0,Brian Hartline,5,0.57,7.0
