,Rec,Tgts,Yds,Avg,Lng,Td,Name
80,4,8,46,11.5,20,1,AJ Green
81,7,15,51,7.3,16,0,AJ Green
82,5,8,61,12.2,18,0,AJ Green
83,6,11,103,17.2,54,1,AJ Green
84,6,8,155,25.8,82,1,AJ Green
85,3,7,115,38.3,53,0,AJ Green
86,11,19,128,11.6,21,0,AJ Green
87,8,15,151,18.9,51,1,AJ Green
88,2,5,7,3.5,4,0,AJ Green
89,5,7,83,16.6,28,1,AJ Green
90,6,8,72,12,22,1,AJ Green
91,9,18,93,10.3,19,0,AJ Green
92,7,13,97,13.9,29,2,AJ Green
93,4,10,61,15.3,53,1,AJ Green
94,1,5,15,15,15,0,Mike Wallace
95,9,11,115,12.8,34,1,Mike Wallace
96,2,4,22,11,12,0,Mike Wallace
97,3,8,24,8,10,0,Mike Wallace
98,7,16,105,15,49,0,Mike Wallace
99,5,10,76,15.2,46,0,Mike Wallace
100,3,10,41,13.7,25,0,Mike Wallace
101,6,8,82,13.7,40,0,Mike Wallace
102,4,7,15,3.8,11,0,Mike Wallace
103,4,6,39,9.8,17,0,Mike Wallace
104,5,11,127,25.4,57,1,Mike Wallace
105,7,9,82,11.7,28,1,Mike Wallace
106,2,5,19,9.5,12,0,Mike Wallace
107,6,9,105,17.5,39,1,Mike Wallace
108,4,11,38,9.5,13,0,Mike Wallace
109,5,12,25,5,13,1,Mike Wallace
110,7,13,154,22,39,0,Vincent Jackson
111,5,11,77,15.4,22,0,Vincent Jackson
112,3,6,34,11.3,19,0,Vincent Jackson
113,2,11,27,13.5,14,0,Vincent Jackson
114,9,14,114,12.7,24,2,Vincent Jackson
115,10,22,138,13.8,59,2,Vincent Jackson
116,5,13,79,15.8,29,0,Vincent Jackson
117,2,4,11,5.5,6,0,Vincent Jackson
118,3,8,28,9.3,14,0,Vincent Jackson
119,10,11,165,16.5,53,1,Vincent Jackson
120,2,3,61,30.5,47,0,Vincent Jackson
121,3,5,75,25,60,0,Vincent Jackson
122,3,8,70,23.3,38,1,Vincent Jackson
123,5,8,58,11.6,16,1,Vincent Jackson
124,5,10,98,19.6,30,0,Vincent Jackson
125,4,12,35,8.8,12,0,Vincent Jackson
126,7,12,108,15.4,38,1,Randall Cobb
127,9,10,128,14.2,35,1,Randall Cobb
128,5,10,54,10.8,26,0,Randall Cobb
129,4,8,35,8.8,22,0,Randall Cobb
130,4,4,53,13.3,18,0,Randall Cobb
131,2,2,55,27.5,48,2,Randall Cobb
132,2,2,51,25.5,26,0,Randall Cobb
133,9,15,114,12.7,34,1,Brian Hartline
134,5,8,68,13.6,24,0,Brian Hartline
135,4,6,56,14,20,1,Brian Hartline
136,3,4,34,11.3,13,0,Brian Hartline
137,4,8,60,15,30,0,Brian Hartline
138,6,11,69,11.5,19,0,Brian Hartline
139,4,6,37,9.3,15,0,Brian Hartline
140,3,5,39,13,21,0,Brian Hartline
141,5,8,57,11.4,19,0,Brian Hartline
142,5,13,65,13,16,0,Brian Hartline
143,5,5,78,15.6,26,0,Brian Hartline
144,9,15,127,14.1,31,1,Brian Hartline
145,5,8,51,10.2,18,1,Brian Hartline
146,5,7,70,14,19,0,Brian Hartline
147,2,10,53,26.5,50,0,Brian Hartline
148,2,5,38,19,25,0,Brian Hartline
149,10,12,72,7.2,18,0,Miles Austin
150,3,4,31,10.3,11,0,Miles Austin
151,2,5,22,11,14,0,Miles Austin
152,0,0,0,0,0,0,Miles Austin
153,0,0,0,0,0,0,Miles Austin
154,1,3,17,17,17,0,Miles Austin
155,1,5,18,18,18,0,Miles Austin
156,2,4,19,9.5,15,0,Miles Austin
157,2,4,35,17.5,20,0,Miles Austin
158,1,2,8,8,8,0,Miles Austin
159,2,3,22,11,16,0,Miles Austin
160,3,4,24,8,13,0,Jacoby Jones
161,2,2,42,21,31,1,Jacoby Jones
162,4,7,32,8,12,0,Jacoby Jones
163,4,8,27,6.8,9,0,Jacoby Jones
164,2,2,17,8.5,9,0,Jacoby Jones
165,2,2,18,9,9,0,Jacoby Jones
166,4,6,103,25.8,66,1,Jacoby Jones
167,4,7,53,13.3,34,0,Jacoby Jones
168,4,7,37,9.3,15,0,Jacoby Jones
169,6,9,80,13.3,27,0,Jacoby Jones
170,1,4,11,11,11,0,Jacoby Jones
171,1,8,11,11,11,0,Jacoby Jones
172,2,4,23,11.5,16,0,Lance Moore
173,1,4,15,15,15,0,Lance Moore
174,1,3,6,6,6,0,Lance Moore
175,3,4,34,11.3,15,1,Lance Moore
176,6,10,70,11.7,25,0,Lance Moore
177,1,2,14,14,14,0,Lance Moore
178,3,4,23,7.7,16,0,Lance Moore
179,2,2,22,11,17,0,Lance Moore
180,2,2,12,6,7,0,Lance Moore
181,3,4,40,13.3,21,0,Lance Moore
182,6,7,78,13,30,0,Lance Moore
183,3,3,47,15.7,21,0,Lance Moore
184,4,5,73,18.3,44,1,Lance Moore
185,2,4,31,15.5,24,1,Lance Moore
186,2,4,20,10,11,0,Lance Moore
187,8,9,70,8.8,21,2,Jason Witten
188,3,8,12,4,10,0,Jason Witten
189,5,6,67,13.4,23,0,Jason Witten
190,5,10,43,8.6,11,0,Jason Witten
191,7,10,121,17.3,27,1,Jason Witten
192,3,5,27,9,14,0,Jason Witten
193,4,6,48,12,26,0,Jason Witten
194,2,2,15,7.5,13,0,Jason Witten
195,8,10,102,12.8,26,1,Jason Witten
196,2,6,27,13.5,19,0,Jason Witten
197,4,7,37,9.3,20,2,Jason Witten
198,3,3,53,17.7,22,0,Jason Witten
199,1,3,10,10,10,1,Jason Witten
200,4,8,71,17.8,27,1,Jason Witten
201,2,2,13,6.5,8,0,Jason Witten
202,12,16,135,11.3,34,0,Jason Witten
203,3,6,39,13,18,1,Steve Johnson
204,8,10,111,13.9,45,1,Steve Johnson
205,6,13,86,14.3,23,0,Steve Johnson
206,1,6,1,1,1,0,Steve Johnson
207,2,3,19,9.5,13,0,Steve Johnson
208,6,12,61,10.2,17,0,Steve Johnson
209,7,11,72,10.3,17,1,Steve Johnson
210,5,7,36,7.2,13,0,Steve Johnson
211,3,10,48,16,23,0,Steve Johnson
212,5,8,55,11,15,0,Steve Johnson
213,5,11,67,13.4,33,0,Steve Johnson
214,1,3,4,4,4,0,Steve Johnson
215,2,2,19,9.5,15,0,Roddy White
216,3,4,21,7,9,0,Roddy White
217,2,4,16,8,10,0,Roddy White
218,3,9,28,9.3,14,0,Roddy White
219,4,4,45,11.3,18,0,Roddy White
220,1,4,20,20,20,0,Roddy White
221,3,9,36,12,16,1,Roddy White
222,2,2,24,12,13,0,Roddy White
223,10,14,143,14.3,29,0,Roddy White
224,8,10,74,9.3,21,0,Roddy White
225,5,7,53,10.6,19,0,Roddy White
226,12,16,141,11.8,39,1,Roddy White
227,8,14,91,11.4,39,1,Roddy White
228,5,8,118,23.6,70,3,victor cruz
229,8,11,118,14.8,51,0,victor cruz
230,3,8,25,8.3,11,0,victor cruz
231,10,16,164,16.4,69,1,victor cruz
232,5,12,48,9.6,14,0,victor cruz
233,4,5,68,17,23,0,victor cruz
234,5,7,50,10,13,0,victor cruz
235,7,10,86,12.3,26,0,victor cruz
236,3,10,37,12.3,15,0,victor cruz
237,8,11,110,13.8,30,0,victor cruz
238,2,4,27,13.5,22,0,victor cruz
239,6,7,80,13.3,22,0,victor cruz
240,5,7,42,8.4,14,0,victor cruz
241,2,7,25,12.5,16,0,victor cruz
242,8,8,96,12,25,1,Reggie Wayne
243,5,8,46,9.2,18,0,Reggie Wayne
244,4,6,58,14.5,25,0,Reggie Wayne
245,5,11,100,20,31,1,Reggie Wayne
246,6,9,65,10.8,19,0,Reggie Wayne
247,5,8,88,17.6,35,0,Reggie Wayne
248,5,8,50,10,14,0,Reggie Wayne
249,13,17,208,16,43,1,Anquan Boldin
250,1,4,7,7,7,0,Anquan Boldin
251,5,8,67,13.4,24,0,Anquan Boldin
252,5,7,90,18,42,1,Anquan Boldin
253,2,6,21,10.5,12,0,Anquan Boldin
254,3,8,28,9.3,15,0,Anquan Boldin
255,5,6,74,14.8,25,0,Anquan Boldin
256,4,6,56,14,21,0,Anquan Boldin
257,3,5,23,7.7,9,0,Anquan Boldin
258,6,9,56,9.3,14,1,Anquan Boldin
259,5,6,94,18.8,32,2,Anquan Boldin
260,9,14,98,10.9,21,0,Anquan Boldin
261,6,8,93,15.5,27,0,Anquan Boldin
262,3,8,43,14.3,25,0,Anquan Boldin
263,6,7,72,12,22,1,Anquan Boldin
264,9,11,149,16.6,63,1,Anquan Boldin
265,7,9,104,14.9,26,1,Desean Jackson
266,9,15,193,21.4,61,1,Desean Jackson
267,3,7,62,20.7,40,0,Desean Jackson
268,2,6,34,17,20,0,Desean Jackson
269,7,13,132,18.9,56,1,Desean Jackson
270,6,6,64,10.7,36,2,Desean Jackson
271,3,8,21,7,16,0,Desean Jackson
272,8,11,63,7.9,13,0,Desean Jackson
273,5,6,150,30,59,1,Desean Jackson
274,4,5,80,20,55,1,Desean Jackson
275,4,4,82,20.5,26,0,Desean Jackson
276,3,6,36,12,25,0,Desean Jackson
277,4,6,59,14.8,19,1,Desean Jackson
278,10,15,195,19.5,51,1,Desean Jackson
279,4,5,29,7.3,10,0,Desean Jackson
280,3,4,28,9.3,20,0,Desean Jackson
