,Rec,Tgts,Yds,Avg,Lng,Td,Name
109,4,10,95,23.8,60,0,Mike Wallace
110,1,5,13,13,13,0,Mike Wallace
111,4,10,47,11.8,21,0,Vincent Jackson
112,5,10,128,25.6,41,1,Vincent Jackson
113,1,7,29,29,29,0,Vincent Jackson
114,6,11,100,16.7,54,1,Vincent Jackson
115,4,8,66,16.5,19,2,Vincent Jackson
116,7,14,216,30.9,95,1,Vincent Jackson
117,2,6,40,20,26,0,Vincent Jackson
118,2,4,84,42,64,1,Vincent Jackson
119,5,7,59,11.8,31,0,Vincent Jackson
120,6,11,94,15.7,24,1,Vincent Jackson
121,5,7,96,19.2,31,0,Vincent Jackson
122,3,8,55,18.3,24,0,Vincent Jackson
123,6,10,131,21.8,40,1,Vincent Jackson
124,6,12,81,13.5,19,0,Vincent Jackson
125,7,15,108,15.4,46,0,Vincent Jackson
126,3,7,50,16.7,27,0,Vincent Jackson
127,9,9,77,8.6,16,0,Randall Cobb
128,1,2,20,20,20,0,Randall Cobb
129,1,2,1,1,1,0,Randall Cobb
130,7,8,66,9.4,17,0,Randall Cobb
131,4,4,82,20.5,31,1,Randall Cobb
132,7,10,102,14.6,24,0,Randall Cobb
133,8,8,89,11.1,39,2,Randall Cobb
134,5,7,28,5.6,14,1,Randall Cobb
135,3,9,37,12.3,21,2,Randall Cobb
136,9,12,74,8.2,22,1,Randall Cobb
137,4,7,39,9.8,15,0,Randall Cobb
138,6,6,62,10.3,33,0,Randall Cobb
139,7,7,102,14.6,38,0,Randall Cobb
140,6,8,115,19.2,31,0,Randall Cobb
141,3,5,62,20.7,31,1,Randall Cobb
142,1,2,7,7,7,0,Randall Cobb
143,3,8,50,16.7,34,0,Brian Hartline
144,9,12,111,12.3,21,0,Brian Hartline
145,1,9,41,41,41,0,Brian Hartline
146,12,18,253,21.1,80,1,Brian Hartline
147,4,5,59,14.8,30,0,Brian Hartline
148,0,0,0,0,0,0,Brian Hartline
149,4,6,41,10.3,17,0,Brian Hartline
150,8,12,107,13.4,35,0,Brian Hartline
151,8,10,79,9.9,14,0,Brian Hartline
152,4,7,49,12.3,17,0,Brian Hartline
153,2,5,17,8.5,10,0,Brian Hartline
154,5,10,84,16.8,28,0,Brian Hartline
155,2,6,34,17,28,0,Brian Hartline
156,5,6,77,15.4,37,0,Brian Hartline
157,2,7,12,6,10,0,Brian Hartline
158,5,7,69,13.8,22,0,Brian Hartline
159,4,4,73,18.3,34,1,Miles Austin
160,5,9,63,12.6,22,1,Miles Austin
161,5,9,107,21.4,49,0,Miles Austin
162,4,6,57,14.3,19,1,Miles Austin
163,2,5,31,15.5,19,0,Miles Austin
164,5,9,97,19.4,36,1,Miles Austin
165,9,16,133,14.8,25,0,Miles Austin
166,7,9,76,10.9,20,0,Miles Austin
167,2,4,32,16,25,0,Miles Austin
168,6,12,58,9.7,13,0,Miles Austin
169,0,0,0,0,0,0,Miles Austin
170,2,2,46,23,27,1,Miles Austin
171,4,10,46,11.5,15,0,Miles Austin
172,7,10,79,11.3,19,0,Miles Austin
173,4,8,45,11.3,19,1,Miles Austin
174,0,0,0,0,0,0,Miles Austin
175,3,3,46,15.3,25,0,Jacoby Jones
176,1,2,21,21,21,1,Jacoby Jones
177,3,4,86,28.7,41,0,Jacoby Jones
178,2,7,17,8.5,10,0,Jacoby Jones
179,0,0,0,0,0,0,Jacoby Jones
180,2,3,15,7.5,10,0,Jacoby Jones
181,2,2,17,8.5,9,0,Jacoby Jones
182,0,0,0,0,0,0,Jacoby Jones
183,2,3,54,27,47,0,Jacoby Jones
184,2,4,1,5,4,0,Jacoby Jones
185,5,7,50,10,24,0,Jacoby Jones
186,1,3,5,5,5,0,Jacoby Jones
187,0,0,0,0,0,0,Jacoby Jones
188,3,3,51,17,43,0,Jacoby Jones
189,1,3,7,7,7,0,Jacoby Jones
190,3,5,36,12,24,0,Jacoby Jones
191,6,11,120,20,33,1,Lance Moore
192,2,5,30,15,17,0,Lance Moore
193,4,7,70,17.5,34,1,Lance Moore
194,7,15,67,9.6,19,0,Lance Moore
195,9,10,121,13.4,35,0,Lance Moore
196,3,6,25,8.3,12,0,Lance Moore
197,2,2,61,30.5,38,0,Lance Moore
198,7,9,91,13,29,0,Lance Moore
199,2,3,53,26.5,38,2,Lance Moore
200,3,6,61,20.3,43,0,Lance Moore
201,7,11,123,17.6,32,0,Lance Moore
202,1,4,26,26,26,0,Lance Moore
203,4,5,42,10.5,16,1,Lance Moore
204,4,5,30,7.5,11,1,Lance Moore
205,4,6,121,30.3,51,0,Lance Moore
206,2,3,10,5,7,0,Jason Witten
207,4,12,58,14.5,23,0,Jason Witten
208,2,6,8,4,5,0,Jason Witten
209,13,14,112,8.6,21,1,Jason Witten
210,6,7,88,14.7,35,0,Jason Witten
211,6,8,44,7.3,11,0,Jason Witten
212,18,23,167,9.3,20,0,Jason Witten
213,7,8,51,7.3,11,0,Jason Witten
214,8,10,47,5.9,15,0,Jason Witten
215,7,8,51,7.3,10,0,Jason Witten
216,9,15,74,8.2,15,0,Jason Witten
217,6,8,108,18,36,0,Jason Witten
218,4,4,62,15.5,25,0,Jason Witten
219,5,8,43,8.6,17,1,Jason Witten
220,6,8,60,10,19,0,Jason Witten
221,7,8,56,8,14,1,Jason Witten
222,4,10,55,13.8,29,1,Steve Johnson
223,2,5,56,28,49,1,Steve Johnson
224,7,11,61,8.7,18,1,Steve Johnson
225,2,10,23,11.5,16,0,Steve Johnson
226,6,9,39,6.5,14,0,Steve Johnson
227,6,11,82,13.7,23,0,Steve Johnson
228,5,7,71,14.2,27,1,Steve Johnson
229,3,7,29,9.7,14,0,Steve Johnson
230,6,9,86,14.3,21,0,Steve Johnson
231,6,9,79,13.2,16,0,Steve Johnson
232,6,16,106,17.7,63,0,Steve Johnson
233,2,5,18,9,13,1,Steve Johnson
234,6,8,71,11.8,34,0,Steve Johnson
235,8,12,115,14.4,25,1,Steve Johnson
236,4,10,44,11,15,0,Steve Johnson
237,6,9,111,18.5,37,0,Steve Johnson
238,6,8,87,14.5,26,0,Roddy White
239,8,11,102,12.8,21,1,Roddy White
240,5,8,55,11,19,0,Roddy White
241,8,12,169,21.1,59,2,Roddy White
242,4,6,68,17,20,0,Roddy White
243,6,8,72,12,26,1,Roddy White
244,3,4,38,12.7,14,0,Roddy White
245,7,10,118,16.9,26,0,Roddy White
246,7,13,114,16.3,49,0,Roddy White
247,8,13,123,15.4,37,0,Roddy White
248,5,7,57,11.4,29,0,Roddy White
249,1,7,20,20,20,0,Roddy White
250,9,11,117,13,18,1,Roddy White
251,2,5,16,8,11,0,Roddy White
252,8,10,153,19.1,44,2,Roddy White
253,5,10,42,8.4,14,0,Roddy White
254,6,11,58,9.7,26,0,victor cruz
255,11,17,179,16.3,80,1,victor cruz
256,6,8,42,7,12,0,victor cruz
257,9,13,109,12.1,30,1,victor cruz
258,5,8,50,10,28,3,victor cruz
259,6,13,58,9.7,16,1,victor cruz
260,7,11,131,18.7,77,1,victor cruz
261,2,8,23,11.5,17,0,victor cruz
262,5,11,67,13.4,26,0,victor cruz
263,3,4,26,8.7,10,0,victor cruz
264,3,6,36,12,17,1,victor cruz
265,5,8,104,20.8,49,0,victor cruz
266,8,9,121,15.1,35,1,victor cruz
267,3,5,15,5,7,0,victor cruz
268,3,5,21,7,11,0,victor cruz
269,4,6,52,13,24,1,victor cruz
270,9,18,135,15,23,0,Reggie Wayne
271,6,7,71,11.8,30,1,Reggie Wayne
272,8,15,88,11,16,0,Reggie Wayne
273,13,20,212,16.3,30,1,Reggie Wayne
274,5,10,87,17.4,29,0,Reggie Wayne
275,6,11,73,12.2,30,0,Reggie Wayne
276,7,11,91,13,22,0,Reggie Wayne
277,7,9,78,11.1,21,1,Reggie Wayne
278,8,11,96,12,21,0,Reggie Wayne
279,7,18,72,10.3,21,0,Reggie Wayne
280,8,14,102,12.8,25,0,Reggie Wayne
281,4,8,51,12.8,26,0,Reggie Wayne
282,6,10,64,10.7,20,1,Reggie Wayne
283,3,8,14,4.7,7,0,Reggie Wayne
284,5,12,81,16.2,33,1,Reggie Wayne
285,4,12,40,10,17,0,Reggie Wayne
286,4,5,63,15.8,34,1,Anquan Boldin
287,2,4,7,3.5,7,0,Anquan Boldin
288,4,7,48,12,24,0,Anquan Boldin
289,9,12,131,14.6,28,0,Anquan Boldin
290,4,10,82,20.5,43,0,Anquan Boldin
291,5,6,98,19.6,31,0,Anquan Boldin
292,3,8,24,8,10,0,Anquan Boldin
293,5,5,57,11.4,21,0,Anquan Boldin
294,4,7,38,9.5,19,0,Anquan Boldin
295,8,12,79,9.9,23,0,Anquan Boldin
296,2,8,42,21,23,0,Anquan Boldin
297,5,12,81,16.2,31,1,Anquan Boldin
298,3,3,78,26,31,2,Anquan Boldin
299,0,0,0,0,0,0,Anquan Boldin
300,7,7,93,13.3,39,0,Anquan Boldin
301,5,7,145,29,50,1,Anquan Boldin
302,4,9,77,19.3,35,0,Desean Jackson
303,7,9,114,16.3,49,0,Desean Jackson
304,3,9,43,14.3,16,0,Desean Jackson
305,6,9,99,16.5,32,1,Desean Jackson
306,4,9,58,14.5,24,0,Desean Jackson
307,5,8,74,14.8,30,0,Desean Jackson
308,5,8,59,11.8,32,0,Desean Jackson
309,3,7,100,33.3,77,1,Desean Jackson
310,5,8,62,12.4,31,0,Desean Jackson
311,2,8,5,2.5,8,0,Desean Jackson
312,1,1,9,9,9,0,Desean Jackson
